QUERY;CIRCE;SEMANTIC;OVERLAP
sviluppo software non connesso all edizione;['58.29.0', '62.01.0'];['45.20.2', '58.11.0', '74.90.2', '62.01.0', '68.10.0', '26.11.0', '47.41.0', '58.29.0', '62.09.0', '18.20.0'];1
pubblica assistenza trinese;['n.c.   '];['82.11.0', '86.90.4', '84.30.0', '78.20.0', '75.00.0', '88.91.0', '88.10.0', '87.30.0', '87.10.0', '87.90.0'];0
sviluppo produzione software;['62.01.0'];['27.90.0', '28.23.0', '62.01.0', '26.20.0', '26.40.0', '26.30.2', '26.11.0', '28.11.1', '20.42.0', '18.20.0'];1
attivita culturali e promozione;['90.02.0'];['73.11.0', '90.02.0', '84.12.4', '91.02.0', '93.19.1', '93.12.0', '90.03.0', '94.99.2', '91.01.0', '79.90.1'];1
commercio import ed export;['46.22.0', '46.49.3', '46.90.0', '46.73.2'];['46.22.0', '46.45.0', '46.42.1', '46.72.2', '46.69.1', '50.20.0', '46.48.0', '46.73.2', '46.41.1', '46.42.4'];1
creazioni e interpretazioni nel campo della regia;['90.02.0'];['73.11.0', '90.02.0', '72.20.0', '90.03.0', '84.23.0', '90.01.0', '74.30.0', '92.00.0'];1
produzione e commercializzazione discografica;['59.20.3'];['59.13.0', '82.19.0', '59.20.1', '26.40.0', '26.70.2', '26.51.2', '32.20.0', '46.43.2', '47.63.0', '47.43.0'];0
stoccaggio gio radioattivi;['38.22.0'];['21.20.0', '33.19.0', '86.90.1', '93.19.9', '52.10.2', '26.40.0', '26.51.2', '52.10.1', '38.22.0', '33.12.5'];1
vendita prodotti chimici;['46.75.0', '46.12.0'];['47.52.4', '47.29.3', '46.75.0', '46.12.0', '20.59.9', '20.41.2', '46.69.9', '20.59.1', '20.59.5'];1
vendere prodotti e servizi per eventi;['82.30.0'];['73.11.0', '90.02.0', '46.49.9', '73.12.0', '69.20.1', '96.09.0', '93.19.1', '56.21.0', '82.30.0', '79.90.1'];1
pulizia e manutenzione appartamenti;['81.21.0'];['43.33.0', '43.29.0', '95.22.0', '81.22.0', '33.12.4', '95.24.0', '81.29.9', '43.39.0', '81.21.0'];1
redigere buste paga settore trasporti;['63.11.1'];['55.90.1', '84.13.6', '52.21.9', '49.31.0', '52.21.3', '52.29.2', '69.20.1', '49.32.1', '17.23.0'];0
fabbricazione serramenti in legno;['16.23.1'];['25.72.0', '16.10.0', '16.29.1', '16.23.1', '16.24.0', '23.65.0', '23.51.0', '16.21.0', '16.23.2', '13.99.1'];1
procacciatore d'affari montascale ascensori;['46.14.0'];['46.16.0', '46.13.0', '46.18.1', '46.15.0', '46.14.0', '46.12.0', '46.18.9', '46.18.2', '46.17.0', '28.22.0'];1
gestione sale per iliardo;['90.04.0', '08.93.0', '59.14.0', '46.38.9', '82.30.0'];['81.10.0', '93.13.0', '93.11.3', '93.11.1', '01.61.0', '90.04.0', '08.93.0', '49.50.2', '92.00.0', '36.00.0'];1
creazione opere arte;['90.03.0'];['73.11.0', '23.70.1', '43.91.0', '85.52.0', '42.13.0', '42.91.0', '90.03.0', '23.19.2', '43.99.0'];1
vendita alimenti ebevande;['47.11.4'];['46.34.2', '56.10.4', '46.34.1', '47.25.0', '47.29.9', '46.23.0', '46.17.0', '35.14.0', '46.38.9', '46.38.3'];0
articoli a catalogo;['58.19.0', '91.01.0', '18.12.0'];['53.20.0', '46.42.1', '47.73.1', '58.12.0', '47.11.2', '63.12.0', '47.59.2', '47.71.1', '46.49.2', '46.42.4'];0
fabbricazione mobili nin legno;['31.09.1'];['23.42.0', '32.50.1', '23.70.1', '31.01.2', '16.24.0', '31.02.0', '16.23.2', '31.09.1', '31.09.4'];1
commercio all ingrosso abbigliamento e accessori;['46.42.1'];['46.42.1', '47.72.1', '46.52.0', '47.79.3', '46.41.1', '45.31.0', '46.48.0', '47.71.1', '46.42.4', '46.46.3'];1
esecuzione di prove per la ricostruzione di modelli geologici e geotecnici;['71.12.5'];['71.12.3', '71.12.5', '71.20.1', '09.10.0', '26.51.2', '72.19.0', '43.13.0', '09.90.0', '29.10.0'];1
attivita degli studi di architettura;['71.11.0'];['82.11.0', '69.10.1', '91.02.0', '71.11.0', '71.12.1', '69.10.2', '94.12.2', '86.23.0', '74.90.9', '97.00.0'];1
altre attivita paramedico;['86.90.2'];['90.02.0', '74.20.1', '86.90.2', '45.20.9', '96.09.0', '84.25.1', '81.29.9', '85.60.0', '74.10.9', '93.19.9'];1
next nuova economia;['72.20.0'];['55.90.2', '85.52.0', '66.12.0', '70.21.0', '84.13.9', '01.63.0', '68.20.0', '10.89.0', '10.83.0', '18.12.0'];0
prevenzione ambienti e luoghi di lavoro;['74.90.2'];['43.33.0', '74.90.2', '32.99.1', '82.19.0', '52.23.0', '14.12.0', '84.22.0', '09.10.0', '41.20.0', '86.90.1'];1
fornitura di servizi alle imprese e alle persone;['78.10.0'];['82.11.0', '61.10.0', '56.29.2', '70.22.0', '52.29.2', '35.30.0', '82.99.3', '63.11.1', '36.00.0', '55.30.0'];0
insegnante piattaforma online;['47.91.1'];['78.10.0', '85.51.0', '85.52.0', '92.00.0', '85.60.0', '63.12.0', '85.59.2', '58.19.0', '74.10.2'];0
sviluppatore componenti elettronici;['26.11.0'];['27.90.0', '29.31.0', '26.20.0', '27.51.0', '26.12.0', '27.11.0', '26.11.0', '32.20.0', '27.12.0'];1
detersivi al dettaglio;['47.78.6'];['47.52.1', '47.30.0', '47.29.3', '47.51.1', '46.44.3', '47.25.0', '47.78.6', '47.89.0', '47.52.2', '47.75.1'];1
professionista n c a;['85.32.0', '94.12.2', '85.59.2', 'n.c.   '];['23.49.0', '46.18.9', '96.09.0', '94.12.1', '94.12.2', '74.90.9', '47.59.2', '93.19.9'];1
servizi di formazione di verifica e implementazione;['71.20.2'];['82.11.0', '78.10.0', '81.10.0', '71.20.2', '71.20.1', '70.22.0', '69.20.2', '66.19.2', '63.11.1', '85.59.2'];1
cuoco in alberghi e ristoranti;['96.09.0', '85.59.2'];['55.10.0', '56.10.4', '28.93.0', '56.10.5', '96.09.0', '56.10.1', '56.21.0', '46.38.3', '85.59.2'];1
direttore di struttura;['90.02.0'];['93.13.0', '85.51.0', '52.21.1', '93.11.3', '93.11.1', '42.21.0', '01.61.0', '90.04.0', '87.10.0', '93.11.2'];0
insegnate di lingue;['85.59.3'];['85.51.0', '79.90.2', '85.52.0', '85.31.1', '85.59.3', '85.60.0', '74.30.0', '96.02.0', '86.90.3'];1
somministrazione al pubblico di alimenti e bevande;['56.10.1'];['82.11.0', '56.10.4', '73.11.0', '56.10.2', '56.10.5', '56.10.1', '46.17.0', '46.38.3'];1
agenzia scommesse sportive;['92.00.0'];['66.22.0', '63.91.0', '94.11.0', '93.19.1', '79.11.0', '74.90.9', '82.91.2', '92.00.0', '93.19.9'];1
pulizia bagni chimici;['81.21.0'];['81.22.0', '77.39.9', '81.29.9', '93.11.2', '43.39.0', '81.21.0', '37.00.0', '45.20.9', '39.00.0'];1
aziende di trasporto e logistica;['70.22.0', '52.29.2', '49.41.0'];['49.20.0', '82.99.1', '70.22.0', '64.99.4', '52.29.2', '49.41.0', '50.20.0', '51.21.0', '52.29.1'];1
produzione materiali ceramici;['23.41.0'];['23.31.0', '23.49.0', '23.43.0', '23.44.0', '23.51.0', '25.91.0', '27.52.0', '23.41.0', '28.99.9', '23.42.0'];1
installazione apparecchi elettrici;['43.21.0', '33.20.0'];['43.29.0', '43.39.0', '43.21.0', '62.09.0', '33.20.0'];1
dettaglio di prodotti cosmetici;['47.75.1'];['47.26.0', '46.45.0', '47.51.1', '47.78.6', '47.72.2', '47.75.1', '47.71.1', '47.52.2', '47.78.3'];1
manuale di istruzione;['85.51.0'];['82.19.0', '85.51.0', '84.12.2', '33.11.0', '85.52.0', '85.59.3', '90.03.0', '85.60.0', '85.59.2'];1
fabbricazione di porte;['16.23.1'];['28.24.0', '15.20.1', '27.90.0', '25.12.1', '26.20.0', '27.51.0', '25.92.0', '25.99.2', '26.52.0', '29.10.0'];0
somministrazione alimenti catering;['56.10.1'];['56.10.4', '56.10.2', '56.10.5', '73.11.0', '56.29.2', '56.10.1', '56.21.0', '64.92.0', '46.38.3'];1
progettazione, realizzazione, manutenzione di tutti i prodotti o servizi legati al mondo internet, informatico, grafica pubblicitaria o marketing, nonche' la riparazione o assemblaggio di componenti elettronici;['74.10.2'];['62.02.0', '62.01.0', '71.12.2', '74.10.1', '71.12.1', '33.13.0', '62.03.0', '43.21.0'];0
consulente risparmio energetico;['74.90.3'];['62.02.0', '73.11.0', '74.90.2', '69.10.1', '69.20.1', '66.19.2', '74.90.3', '69.20.3'];1
produzione lenti a contatto;['32.50.4'];['27.31.0', '27.40.0', '23.14.0', '32.99.9', '26.70.1', '26.51.2', '32.50.4', '32.50.3', '32.50.1'];1
gestore del personale;['69.20.1'];['55.90.1', '93.13.0', '52.21.1', '93.11.1', '01.61.0', '52.10.2', '69.20.1', '84.13.9', '93.11.2', '66.11.0'];1
attivita organizzazioni per la cooperazione internazionale;['94.99.4'];['84.25.2', '94.99.9', '94.99.1', '94.92.0', '94.99.4', '94.11.0', '94.99.6', '99.00.0', '94.99.5', '94.99.3'];1
commercio all'ingrosso di prodotti chimici;['46.75.0'];['46.69.9', '46.46.1', '46.38.9', '46.45.0', '46.42.1', '46.34.1', '46.35.0', '46.75.0', '46.76.3'];1
restauro edifici storici;['41.20.0'];['95.25.0', '33.19.0', '45.20.1', '95.29.0', '95.24.0', '41.20.0', '90.03.0', '91.03.0'];1
commercio ambulante itinerante;['47.89.0'];['47.89.0', '56.10.4', '47.81.0', '47.82.0'];1
commercio al dettaglio di combustibile per uso domestico;['47.78.4'];['47.30.0', '47.54.0', '47.52.4', '47.59.3', '47.78.4', '47.59.1', '47.59.4', '47.25.0', '45.32.0', '47.26.0'];1
take eat easy;['56.10.2'];['03.11.0', '56.10.2', '56.10.4', '56.10.5', '49.32.1', '47.11.3', '46.17.0', '56.10.1', '56.30.0', '56.21.0'];1
pontificia facolta teologica dell italia;['84.12.3'];['85.41.0', '71.12.5', '71.20.1', '60.10.0', '85.32.0', '11.02.1', '95.29.0', '85.31.1', '70.21.0', '85.59.1'];0
edizione di registrazione sonora;['59.20.1'];['58.11.0', '59.20.1', '26.40.0', '59.20.2', '58.13.0', '59.20.3', '58.14.0', '58.19.0', '18.20.0', '58.21.0'];1
produzione oggettistica vari materiali;['20.59.2', '15.12.0', '22.29.0', '13.96.2', '23.41.0', '46.90.0'];['23.99.0', '13.99.9', '16.29.3', '32.99.3', '14.20.0', '32.30.0', '23.91.0', '20.59.9', '22.29.0', '32.12.1'];1
vendita prodotti fatti a manou;['15.12.0'];['47.52.1', '73.11.0', '46.36.0', '26.51.2', '13.92.1', '28.13.0', '25.73.1', '23.19.2', '17.12.0', '47.78.3'];0
societa di servizi;['n.c.   '];['81.29.1', '82.19.0', '75.00.0', '80.30.0', '64.99.4', '69.20.1', '49.42.0', '80.10.0', '68.20.0', '96.02.0'];0
intellettuale storia architettura;['71.11.0'];['73.11.0', '72.20.0', '85.52.0', '71.12.2', '71.11.0', '42.91.0', '71.12.1', '41.20.0', '90.03.0', '74.10.9'];1
altre attivita assistenza;['n.c.   '];['74.90.2', '90.02.0', '58.19.0', '74.10.9', '96.09.0', '87.90.0', '88.99.0', '85.60.0', '82.99.9', '45.20.9'];0
distribuzione prodotti farmaceutici;['46.46.1'];['21.20.0', '46.46.1', '73.11.0', '47.73.1', '47.99.2', '21.10.0', '46.46.2', '46.18.3', '35.13.0'];1
installazione servizi di connettivita fwa e fibra ottica;['27.31.0'];['61.10.0', '43.29.0', '43.21.0', '62.09.0', '33.20.0'];0
commercio all'ingrosso di rottami metallici;['46.77.1'];['46.76.9', '46.72.1', '46.72.2', '46.47.2', '46.77.1', '46.44.2', '46.74.1', '46.75.0', '46.41.1', '47.78.3'];1
commercio al dettaglio di articoli medicali e ortopedic;['47.74.0'];['47.52.1', '47.54.0', '47.73.1', '47.72.1', '47.64.1', '47.74.0', '46.46.3', '47.71.1', '47.52.2', '47.29.3'];1
produttore macchine speciali;['28.96.0', '28.93.0', '28.99.9', '27.52.0'];['30.40.0', '45.20.2', '45.20.1', '28.23.0', '26.20.0', '25.40.0', '28.49.0', '28.22.0', '29.10.0'];0
coltivazione di limoni;['01.23.0'];['01.22.0', '01.23.0', '01.19.1', '01.30.0', '01.27.0', '01.11.3', '01.15.0', '01.16.0', '01.26.0', '01.21.0'];1
attivita di acquisto gestione vendita e permuta;['68.31.0'];['66.19.1', '35.23.0', '64.99.1', '70.22.0', '66.12.0', '35.14.0', '64.99.5', '74.90.9', '84.21.0', '79.90.1'];0
altre attiviton classificabili;['n.c.   '];['74.20.1', '94.99.9', '58.19.0', '93.19.9', '85.60.0', '74.90.9', '82.99.9', '92.00.0', '74.10.9', '39.00.0'];0
commercio all'ingrosso di elettrodomestici;['46.43.1'];['47.54.0', '46.42.1', '46.43.1', '46.52.0', '46.74.2', '46.49.3', '46.44.2', '46.47.3', '46.35.0', '46.76.3'];1
vendita dettaglio borse, portafogli;['47.72.2'];['47.52.1', '47.62.2', '47.62.1', '47.78.5', '47.78.9', '46.49.5', '47.42.0', '47.77.0', '46.22.0', '47.72.2'];1
altre parti e accessori per autoveicoli;['29.32.0', '45.31.0', '45.32.0'];['30.92.3', '30.91.2', '29.32.0', '45.31.0', '45.19.0', '14.19.1', '45.32.0', '31.09.4', '45.20.9', '33.12.5'];1
gestione alberghi con ristorante;['55.10.0'];['55.10.0', '93.13.0', '56.10.5', '93.11.1', '52.10.2', '90.04.0', '56.10.1', '93.11.2'];1
commercio dettaglio online di pannelli fotovoltaici;['46.69.2', '27.11.0', '43.21.0'];['47.54.0', '47.52.1', '47.78.2', '47.59.3', '46.74.2', '47.24.1', '27.11.0', '46.69.2', '47.41.0', '47.43.0'];1
commercio al dettagli creme;['47.75.1'];['47.52.1', '46.45.0', '47.51.1', '47.71.3', '47.25.0', '47.24.2', '47.41.0', '47.71.1', '47.78.3'];0
fitto ramo d'azienda;['68.20.0'];['13.10.0', '13.99.9', '25.99.3', '64.99.2', '95.12.0', '24.44.0', '10.61.3', '68.20.0', '31.09.5', '13.99.1'];1
produzione parti di autoveicoli;['29.32.0'];['30.40.0', '30.92.3', '30.92.2', '29.31.0', '30.91.2', '30.91.1', '29.32.0', '26.51.2', '29.10.0', '27.20.0'];1
amministratore delegato grande distribuzione;['47.11.1'];['28.29.1', '47.19.1', '52.10.2', '47.99.2', '47.11.3', '46.18.2', '84.12.3', '35.13.0', '46.11.0', '74.10.2'];0
grafica e comunicaziome;['74.10.2'];['73.11.0', '82.19.0', '95.12.0', '70.21.0', '61.90.9', '46.69.9', '85.59.2', '74.10.2', '33.20.0'];1
servizio sociale giustizia;['63.12.0'];['53.20.0', '84.30.0', '82.19.0', '75.00.0', '80.30.0', '85.31.1', '49.42.0', '80.10.0', '87.90.0', '84.23.0'];0
acquisto fondi agricoli;['46.31.1'];['01.12.0', '01.23.0', '01.19.1', '59.13.0', '64.99.3', '64.91.0', '01.16.0', '64.19.1', '64.19.2', '46.19.0'];0
commercio prodotti stimolanti ed enzimi per piante vegetali;['46.33.2'];['73.11.0', '47.89.0', '01.61.0', '01.28.0', '46.46.2', '47.76.1', '46.22.0', '46.75.0', '46.21.2', '47.29.3'];0
associazione ecomuseo del lago d'orta e mottarone;['94.99.2'];['03.11.0', '94.99.9', '99.00.0', '03.12.0', '94.99.6', '38.32.1', '86.23.0', '90.03.0', '91.03.0', '79.90.1'];0
gestione amministrativa contabile;['69.20.1'];['93.13.0', '82.99.1', '52.21.1', '01.61.0', '52.10.2', '84.13.9', '49.50.1', '93.11.2', '36.00.0', '66.11.0'];0
attivitelle agenzie di viaggio;['79.11.0'];['78.10.0', '66.22.0', '79.90.2', '94.12.2', '82.91.2', '79.12.0', '82.91.1', '79.11.0', '63.91.0', '79.90.1'];1
assistente riprese video;['59.11.0'];['95.21.0', '95.12.0', '74.20.1', '26.40.0', '74.20.2', '59.12.0', '33.13.0', '18.20.0'];0
impianto aspirazione polveri;['28.25.0'];['28.12.0', '42.21.0', '81.22.0', '20.51.0', '28.11.1', '43.29.0', '32.50.1', '43.21.0', '33.20.0'];0
manutenzione di beni immobili sia propri che di terzi;['68.31.0', '68.32.0', 'n.c.   '];['68.32.0', '95.29.0', '68.10.0', '68.31.0', '95.24.0', '81.29.9', '68.20.0', '90.03.0', '66.19.3', '45.20.9'];1
produzione scatola alimentare;['17.21.0', '10.85.0', '25.92.0', '10.73.0', '32.20.0', '10.39.0'];['17.21.0', '17.11.0', '16.24.0', '25.91.0', '10.31.0', '25.92.0', '10.73.0', '17.29.0', '10.13.0', '10.81.0'];1
intermediario per la vendita di automobili;['45.11.0'];['64.99.1', '73.12.0', '45.11.0', '68.31.0', '45.31.0', '45.40.1', '74.90.9', '45.19.0'];1
gestione di parchi di dievrtimento;['93.21.0', '55.30.0', '56.30.0'];['52.21.5', '93.13.0', '02.10.0', '93.11.3', '91.04.0', '93.11.1', '01.61.0', '93.11.9', '93.11.2', '36.00.0'];0
certificazione di conformitcertificazione di conformita;['71.20.2'];['71.20.2', '43.91.0', '71.20.1', '70.22.0', '69.20.2', '69.20.1', '82.99.4', '64.92.0', '85.59.2'];1
supervisore attivitsupervisore attivita;[];['66.22.0', '65.20.0', '94.20.0', '84.25.2', '75.00.0', '84.25.1', '93.12.0', '97.00.0', '86.90.3', '79.90.1'];0
negozio di pane;['47.24.1'];['46.36.0', '10.71.1', '47.24.1', '47.11.3', '47.25.0', '46.69.2', '46.73.3', '47.11.2', '46.38.9', '46.38.3'];1
lavori di manutenzione mobili;['31.09.1', '31.09.4', '43.39.0'];['45.20.1', '43.29.0', '33.12.3', '95.24.0', '45.20.3', '16.23.2', '43.99.0', '31.09.5', '45.20.9', '33.12.5'];0
posa in opera di inflissi;['n.c.   '];['18.13.0', '03.11.0', '74.20.1', '43.32.0', '43.34.0', '23.19.2', '43.99.0', '46.73.2'];0
vendita altri prodotti;['46.18.9'];['73.11.0', '32.99.9', '46.41.9', '23.49.0', '47.79.3', '20.59.9', '46.66.0', '46.73.2', '46.38.9', '45.19.0'];0
progettazione impianti antincendio;['46.69.9', '43.22.0', '71.12.1'];['43.22.0', '43.91.0', '30.30.0', '42.21.0', '71.12.2', '09.10.0', '84.22.0', '26.30.2', '43.21.0', '38.22.0'];1
gestione sicurezza e controllo;['74.90.9'];['52.21.5', '71.20.2', '52.21.1', '01.61.0', '26.51.2', '49.50.1', '93.11.2', '38.12.0', '91.03.0', '38.22.0'];0
scuole per crescere;['85.59.9', '81.21.0', '49.39.0', '85.52.0'];['85.59.9', '85.53.0', '85.51.0', '85.52.0', '85.10.0', '85.59.3', '88.99.0', '85.60.0'];1
monitoraggio e controllo;['64.11.0'];['26.70.1', '71.20.2', '52.21.9', '01.61.0', '69.20.2', '26.51.2', '64.11.0', '80.20.0', '26.51.1', '36.00.0'];1
raccolta e vendita di legna;['02.20.0', '46.73.1', '46.13.0'];['02.20.0', '16.10.0', '46.73.1', '46.13.0', '46.24.2', '01.15.0', '02.10.0', '01.70.0', '01.29.0', '38.11.0'];1
high fashion wholesale;['46.42.1'];['47.51.1', '46.42.1', '47.72.1', '47.78.9', '14.13.1', '47.79.3', '46.41.1', '47.71.1', '46.42.4', '47.78.3'];1
agente di commercio svapo;['46.19.0'];['66.22.0', '46.14.0', '46.12.0', '46.18.9', '46.17.0', '46.11.0', '46.38.9', '82.91.2'];0
attivita di ausilio ad agenzia immobiliare;['68.31.0'];['66.22.0', '69.10.1', '64.99.1', '75.00.0', '09.10.0', '68.31.0', '66.19.2', '82.91.1', '69.20.3'];1
commercio all'ingrosso e al dettaglio ecommerce di saponi;['46.44.3'];['47.54.0', '46.45.0', '46.42.1', '46.44.3', '46.21.2', '47.78.6', '47.89.0', '47.71.1', '46.42.4', '47.52.2'];1
affitti turistici di proprietaffitti turistici di proprieta;['68.31.0'];['55.20.1', '77.29.9', '64.91.0', '55.20.5', '77.34.0', '68.20.0', '79.11.0', '77.21.0', '79.90.1'];0
aste via internet;['47.91.1'];['53.20.0', '58.12.0', '47.79.4', '47.91.1', '45.11.0', '61.90.1', '61.90.2', '96.02.0', '92.00.0', '45.19.0'];1
vendita porte blindate;['46.73.2', '25.99.2'];['27.90.0', '16.23.1', '33.11.0', '45.11.0', '43.32.0', '80.10.0', '25.99.2', '46.47.3', '46.73.2', '92.00.0'];1
servizi consulenza tecnica ambientale;['74.90.9'];['62.02.0', '74.90.1', '74.90.2', '70.22.0', '66.19.2', '74.90.3', '74.90.9'];1
noleggio e vendita;['77.22.0'];['77.11.0', '77.35.0', '45.11.0', '77.12.0', '77.34.0', '77.29.1', '77.31.0', '77.39.1', '77.21.0'];0
venditore di tabacco;['47.26.0'];['12.00.0', '01.15.0', '46.34.1', '46.35.0', '46.17.0', '47.26.0', '46.41.1', '47.81.0', '46.21.2', '47.78.3'];1
distribuzione contenuti digitali;['18.12.0'];['73.11.0', '59.13.0', '82.19.0', '58.12.0', '52.29.2', '60.20.0', '82.99.2', '74.20.2', '35.13.0', '74.90.9'];0
consulente sanita pabblica;['n.c.   '];['86.90.4', '56.10.4', '74.90.2', '69.10.1', '84.25.2', '66.19.2', '69.20.3', '96.02.0'];0
commercio dettaglio mobili usati;['47.79.2'];['47.51.1', '47.79.1', '47.79.3', '46.65.0', '47.59.1', '47.78.1', '46.47.1', '45.32.0', '47.89.0', '47.79.2'];1
articoli per fumatori;['47.78.3'];['47.26.0', '81.29.1', '12.00.0', '16.29.1', '01.15.0', '46.49.9', '47.82.0', '46.35.0', '14.19.1', '47.78.3'];1
movimento e trasporta terra;['43.12.0', '52.24.4'];['52.24.3', '43.12.0', '49.41.0', '49.32.1', '49.50.2', '52.24.1', '49.50.1', '77.39.1', '51.22.0', '52.24.4'];1
commercio al dettaglio di infissi finestre tapparelle cassonetti persiane cancelli di sicurezza porte blindate porte interne zanzariere veneziane tende da sole;['25.12.2'];['47.52.1', '47.51.1', '47.71.5', '47.82.0', '47.52.3', '47.59.9', '46.73.2', '47.59.2', '47.59.5', '47.52.2'];0
trasporti conto terzi;['49.41.0'];['52.29.2', '49.41.0', '49.32.1', '52.10.2', '49.50.2', '02.40.0', '77.39.1', '51.22.0', '82.99.9', '52.24.4'];1
allevamento di bovini e bufale da latte, produzione di latte crudo;['01.41.0'];['01.46.0', '10.41.3', '01.41.0', '01.45.0', '10.89.0', '10.51.2', '01.43.0', '01.42.0', '03.22.0', '10.51.1'];1
riparazione e manutenzione macchinari;['33.12.5'];['33.12.9', '33.12.1', '95.11.0', '33.14.0', '33.11.0', '33.12.7', '33.12.5'];1
attivita di intrattenimento;['32.99.9', '56.30.0', '93.21.0', '93.29.3', '93.29.9'];['59.13.0', '84.12.4', '93.21.0', '93.19.1', '59.11.0', '79.12.0', '59.14.0', '93.29.9', '93.12.0', '79.90.1'];1
sostituto alla guida taxi;['79.90.2'];['82.20.0', '52.21.3', '77.11.0', '45.20.4', '49.32.2', '49.41.0', '49.32.1', '51.10.2', '77.39.1', '82.99.9'];0
eventi con somministrazione alimenti e bevande;['56.10.1'];['56.10.2', '56.10.5', '55.20.3', '96.09.0', '56.10.1', '93.19.1', '46.17.0', '56.21.0'];1
manicure e pedicure;['96.02.0'];['43.33.0', '95.25.0', '85.51.0', '43.31.0', '85.52.0', '95.29.0', '96.09.0', '96.02.0'];1
riproduzione di supporti registrati;['18.20.0'];['58.11.0', '82.19.0', '59.20.1', '62.01.0', '26.40.0', '74.20.2', '59.20.3', '46.43.2', '74.10.3', '18.20.0'];1
vendita in e commerce;['47.91.1'];['47.91.2', '46.52.0', '46.49.3', '47.91.1', '45.11.0', '46.69.2', '35.14.0', '47.41.0', '46.33.1', '45.19.0'];1
rimessa di denaro;['49.32.2'];['93.29.3', '53.10.0', '49.32.2', '64.11.0', '32.11.0', '02.40.0', '66.19.5', '64.99.5', '82.99.9', '38.11.0'];1
siderurgia cod reg;['24.10.0'];['33.12.9', '27.90.0', '16.29.2', '12.00.0', '20.52.0', '26.20.0', '24.10.0', '26.40.0', '25.73.1', '32.20.0'];1
altre attivita' supporto imprese;['82.99.9'];['74.90.2', '90.02.0', '70.22.0', '01.61.0', '82.99.9', '96.09.0', '85.60.0', '74.90.9', '58.19.0', '74.10.9'];1
supporti informatici per;['46.43.2', '18.20.0', '46.52.0'];['82.11.0', '62.02.0', '82.19.0', '70.22.0', '66.19.2', '02.40.0', '85.60.0', '74.90.9', '33.20.0'];0
assemblaggio componenti elettrici;['29.31.0'];['26.70.1', '26.12.0', '27.11.0', '26.11.0', '25.73.1', '28.25.0', '45.20.3', '25.11.0', '31.09.4', '33.20.0'];0
commercio all'ingrosso colle;['20.52.0', '46.73.4'];['46.42.2', '46.37.0', '46.42.1', '20.52.0', '46.34.1', '46.35.0', '46.44.2', '46.41.1', '46.42.4'];1
prestazione manodopera giordinaggio;['31.09.9', '81.21.0', '52.24.4'];['33.12.9', '64.99.1', '33.12.3', '95.22.0', '33.11.0', '01.61.0', '09.10.0', '09.90.0', '96.03.0'];0
vendita prodotti per la sicurezza;['46.69.9'];['47.52.1', '15.20.1', '73.11.0', '32.99.1', '47.59.3', '46.47.3', '46.69.9', '46.75.0', '47.59.5'];1
produzione e vendita diretta di scarpe;['14.39.0', '28.94.2', '15.20.1'];['15.20.2', '15.20.1', '14.19.2', '47.72.1', '32.30.0', '15.12.0', '28.30.9', '22.29.0', '32.50.3', '32.91.0'];1
confezione su misura;['14.13.2'];['14.11.0', '14.13.2', '14.19.2', '14.13.1', '14.20.0', '14.12.0', '13.92.1', '47.71.2', '47.71.1', '14.19.1'];1
produzione servizi innovativi;['22.11.1', 'n.c.   '];['82.11.0', '64.99.2', '26.20.0', '98.20.0', '71.12.2', '80.30.0', '23.91.0', '20.14.0', '63.11.1', '74.90.9'];0
vendita prodotti abbigliamento;['46.16.0', '46.42.1', '14.13.1', 'n.c.   ', '47.71.1'];['73.11.0', '46.42.2', '46.41.9', '47.51.1', '46.42.1', '47.79.3', '46.41.1', '47.71.1', '47.78.3'];1
corsi di guida;['79.90.2', '85.53.0'];['85.59.9', '85.53.0', '85.51.0', '79.90.2', '85.52.0', '85.32.0', '85.59.3', '85.59.2', '93.19.9'];1
assistenza toner stampanti;['95.11.0', '28.23.0'];['33.12.9', '33.12.1', '95.11.0', '28.23.0', '82.19.0', '26.20.0', '20.30.0', '25.73.1', '33.12.5'];1
servizi di ambulanza delle banche del sangue e altri servizi sanitari nca;['86.90.4'];['85.59.9', '86.90.4', '75.00.0', '86.22.0', '96.09.0', '81.29.9', '88.99.0', '64.92.0', '82.99.9', '63.99.0'];1
commercio al dettaglio borse in pelle;['47.72.2'];['47.71.4', '46.42.2', '47.71.1', '47.51.1', '47.72.1', '46.49.5', '47.79.3', '46.41.1', '47.72.2', '47.78.3'];1
organizzazione e gestione a mezzo di profess;['85.59.2'];['93.13.0', '52.21.1', '01.61.0', '52.10.2', '69.20.1', '94.12.1', '96.09.0', '93.11.2', '91.03.0', '82.30.0'];0
assistenza alla regia;['90.02.0'];['82.11.0', '45.20.1', '95.11.0', '90.02.0', '82.19.0', '93.11.1', '70.22.0', '84.22.0', '96.09.0'];1
fabbricazione articoli tessili;['13.96.2'];['13.99.9', '14.31.0', '13.92.2', '13.91.0', '32.30.0', '14.20.0', '31.03.0', '20.59.6', '13.96.2', '28.94.1'];1
polli allo spiedo;['56.10.2'];['01.46.0', '01.49.2', '10.85.0', '01.47.0', '93.11.9', '01.49.9', '56.30.0', '10.39.0', '46.38.3', '92.00.0'];0
sfalci spalatura neve piccola manutenzione;['81.29.9'];['45.20.1', '95.22.0', '33.11.0', '81.29.9', '43.39.0', '77.21.0', '45.20.9'];1
