QUERY,CIRCE,SEMANTIC,OVERLAP
produzione di surgelati,"['10.72.0', '47.11.5', '28.25.0', '46.39.1', '10.39.0', '10.31.0', '10.20.0']","['10.42.0', '10.11.0', '47.11.5', '10.73.0', '10.12.0', '10.32.0', '10.51.2', '10.31.0', '10.89.0']",1
commercio ambulante ingrosso,"['46.34.1', '46.34.2', '46.49.9', '47.89.0']","['46.42.1', '46.73.2', '46.76.3', '47.89.0', '47.81.0', '47.82.0', '56.10.4']",1
sviluppo software non connesso all     edizione,"['58.29.0', '62.01.0']","['58.29.0', '58.11.0', '62.01.0', '47.41.0', '45.20.2', '68.10.0', '74.90.2', '62.09.0', '18.20.0', '26.11.0']",1
pubblica assistenza trinese,['n.c.   '],"['87.90.0', '87.30.0', '78.20.0', '82.11.0', '86.90.4', '88.10.0', '87.10.0', '84.30.0', '88.91.0', '75.00.0']",0
sviluppo produzione software,['62.01.0'],"['20.42.0', '26.30.2', '28.23.0', '62.01.0', '28.11.1', '26.40.0', '18.20.0', '26.20.0', '27.90.0', '26.11.0']",1
attivita culturali e promozione,['90.02.0'],"['84.12.4', '93.19.1', '73.11.0', '94.99.2', '90.03.0', '93.12.0', '91.02.0', '79.90.1', '91.01.0', '90.02.0']",1
commercio import ed export,"['46.90.0', '46.73.2', '46.22.0', '46.49.3']","['46.42.1', '46.42.4', '46.73.2', '46.48.0', '46.45.0', '50.20.0', '46.72.2', '46.69.1', '46.22.0', '46.41.1']",1
creazioni  e interpretazioni nel campo della regia,['90.02.0'],"['84.23.0', '74.30.0', '73.11.0', '90.01.0', '90.03.0', '92.00.0', '72.20.0', '90.02.0']",1
produzione e commercializzazione discografica,['59.20.3'],"['47.63.0', '32.20.0', '82.19.0', '46.43.2', '47.43.0', '59.13.0', '26.70.2', '26.40.0', '26.51.2', '59.20.1']",0
stoccaggio gio radioattivi,['38.22.0'],"['93.19.9', '26.51.2', '86.90.1', '52.10.1', '52.10.2', '26.40.0', '33.12.5', '21.20.0', '38.22.0', '33.19.0']",1
vendita prodotti chimici,"['46.75.0', '46.12.0']","['46.69.9', '46.12.0', '20.59.5', '20.59.9', '47.52.4', '47.29.3', '46.75.0', '20.41.2', '20.59.1']",1
vendere prodotti e servizi per eventi,['82.30.0'],"['93.19.1', '73.12.0', '73.11.0', '82.30.0', '90.02.0', '56.21.0', '46.49.9', '69.20.1', '79.90.1', '96.09.0']",1
pulizia e manutenzione appartamenti,['81.21.0'],"['81.21.0', '43.39.0', '95.22.0', '43.33.0', '43.29.0', '81.29.9', '81.22.0', '95.24.0', '33.12.4']",1
redigere buste paga settore trasporti,['63.11.1'],"['17.23.0', '55.90.1', '52.21.3', '52.29.2', '84.13.6', '49.32.1', '69.20.1', '52.21.9', '49.31.0']",0
fabbricazione serramenti in legno,['16.23.1'],"['16.24.0', '23.51.0', '23.65.0', '25.72.0', '16.29.1', '13.99.1', '16.10.0', '16.21.0', '16.23.2', '16.23.1']",1
procacciatore d'affari montascale ascensori,['46.14.0'],"['46.18.9', '46.16.0', '46.14.0', '46.12.0', '46.13.0', '46.15.0', '46.17.0', '28.22.0', '46.18.2', '46.18.1']",1
gestione sale per iliardo,"['59.14.0', '46.38.9', '82.30.0', '08.93.0', '90.04.0']","['93.11.3', '49.50.2', '01.61.0', '93.11.1', '08.93.0', '92.00.0', '93.13.0', '81.10.0', '90.04.0', '36.00.0']",1
creazione opere arte,['90.03.0'],"['23.19.2', '23.70.1', '73.11.0', '42.91.0', '43.99.0', '43.91.0', '90.03.0', '85.52.0', '42.13.0']",1
vendita alimenti ebevande,['47.11.4'],"['46.38.9', '46.34.1', '35.14.0', '46.23.0', '46.34.2', '46.38.3', '46.17.0', '56.10.4', '47.29.9', '47.25.0']",0
articoli a catalogo,"['18.12.0', '58.19.0', '91.01.0']","['46.42.1', '46.42.4', '47.71.1', '47.59.2', '47.73.1', '46.49.2', '47.11.2', '53.20.0', '58.12.0', '63.12.0']",0
fabbricazione mobili nin legno,['31.09.1'],"['16.24.0', '23.70.1', '31.09.4', '31.02.0', '31.09.1', '31.01.2', '23.42.0', '32.50.1', '16.23.2']",1
commercio all     ingrosso abbigliamento e accessori,['46.42.1'],"['46.42.1', '47.71.1', '46.42.4', '46.52.0', '46.46.3', '46.48.0', '45.31.0', '47.79.3', '46.41.1', '47.72.1']",1
esecuzione di prove per la ricostruzione di modelli geologici e geotecnici,['71.12.5'],"['71.12.3', '26.51.2', '71.20.1', '43.13.0', '29.10.0', '09.10.0', '71.12.5', '09.90.0', '72.19.0']",1
attivita degli studi di architettura,['71.11.0'],"['86.23.0', '82.11.0', '69.10.1', '94.12.2', '69.10.2', '71.11.0', '71.12.1', '91.02.0', '97.00.0', '74.90.9']",1
altre attivita paramedico,['86.90.2'],"['84.25.1', '93.19.9', '86.90.2', '45.20.9', '74.20.1', '81.29.9', '90.02.0', '85.60.0', '74.10.9', '96.09.0']",1
next nuova economia,['72.20.0'],"['55.90.2', '10.83.0', '66.12.0', '85.52.0', '70.21.0', '68.20.0', '18.12.0', '84.13.9', '10.89.0', '01.63.0']",0
prevenzione ambienti e luoghi di lavoro,['74.90.2'],"['82.19.0', '43.33.0', '86.90.1', '84.22.0', '52.23.0', '09.10.0', '74.90.2', '41.20.0', '14.12.0', '32.99.1']",1
fornitura di servizi alle imprese e alle persone,['78.10.0'],"['63.11.1', '82.11.0', '70.22.0', '52.29.2', '82.99.3', '35.30.0', '56.29.2', '36.00.0', '55.30.0', '61.10.0']",0
insegnante piattaforma online,['47.91.1'],"['78.10.0', '85.51.0', '85.59.2', '85.52.0', '63.12.0', '92.00.0', '85.60.0', '58.19.0', '74.10.2']",0
sviluppatore componenti elettronici,['26.11.0'],"['27.51.0', '32.20.0', '26.12.0', '27.11.0', '29.31.0', '26.20.0', '27.12.0', '27.90.0', '26.11.0']",1
detersivi al dettaglio,['47.78.6'],"['47.78.6', '47.52.1', '47.52.2', '47.30.0', '47.51.1', '47.89.0', '47.29.3', '46.44.3', '47.75.1', '47.25.0']",1
professionista n c a,"['94.12.2', '85.59.2', 'n.c.   ', '85.32.0']","['93.19.9', '46.18.9', '47.59.2', '94.12.2', '23.49.0', '94.12.1', '74.90.9', '96.09.0']",1
servizi di formazione  di verifica e implementazione,['71.20.2'],"['63.11.1', '66.19.2', '71.20.2', '82.11.0', '70.22.0', '71.20.1', '85.59.2', '78.10.0', '81.10.0', '69.20.2']",1
cuoco in alberghi e ristoranti,"['96.09.0', '85.59.2']","['55.10.0', '56.10.5', '56.10.1', '28.93.0', '85.59.2', '56.21.0', '46.38.3', '56.10.4', '96.09.0']",1
direttore di struttura,['90.02.0'],"['93.11.3', '93.11.2', '01.61.0', '87.10.0', '85.51.0', '93.11.1', '93.13.0', '90.04.0', '42.21.0', '52.21.1']",0
insegnate di lingue,['85.59.3'],"['86.90.3', '74.30.0', '79.90.2', '85.31.1', '85.51.0', '96.02.0', '85.52.0', '85.60.0', '85.59.3']",1
somministrazione al pubblico di alimenti e bevande,['56.10.1'],"['82.11.0', '73.11.0', '56.10.5', '56.10.1', '46.17.0', '46.38.3', '56.10.4', '56.10.2']",1
agenzia scommesse sportive,['92.00.0'],"['93.19.9', '93.19.1', '66.22.0', '63.91.0', '79.11.0', '82.91.2', '92.00.0', '94.11.0', '74.90.9']",1
pulizia bagni chimici,['81.21.0'],"['81.21.0', '93.11.2', '43.39.0', '45.20.9', '39.00.0', '77.39.9', '81.29.9', '81.22.0', '37.00.0']",1
aziende di trasporto e logistica,"['70.22.0', '52.29.2', '49.41.0']","['82.99.1', '64.99.4', '70.22.0', '52.29.2', '50.20.0', '52.29.1', '49.41.0', '51.21.0', '49.20.0']",1
produzione materiali ceramici,['23.41.0'],"['23.51.0', '28.99.9', '27.52.0', '23.41.0', '23.44.0', '23.43.0', '25.91.0', '23.42.0', '23.31.0', '23.49.0']",1
installazione apparecchi elettrici,"['43.21.0', '33.20.0']","['43.39.0', '43.29.0', '33.20.0', '62.09.0', '43.21.0']",1
dettaglio di prodotti cosmetici,['47.75.1'],"['47.71.1', '47.78.6', '47.72.2', '46.45.0', '47.52.2', '47.78.3', '47.26.0', '47.51.1', '47.75.1']",1
manuale di istruzione,['85.51.0'],"['82.19.0', '85.59.2', '85.51.0', '90.03.0', '85.52.0', '84.12.2', '85.60.0', '33.11.0', '85.59.3']",1
fabbricazione di porte,['16.23.1'],"['27.51.0', '25.99.2', '25.92.0', '15.20.1', '26.52.0', '28.24.0', '26.20.0', '29.10.0', '27.90.0', '25.12.1']",0
somministrazione alimenti catering,['56.10.1'],"['73.11.0', '56.10.5', '56.10.1', '64.92.0', '56.21.0', '46.38.3', '56.29.2', '56.10.4', '56.10.2']",1
"progettazione, realizzazione, manutenzione di tutti i prodotti o servizi legati al mondo internet, informatico, grafica pubblicitaria o marketing, nonche' la riparazione o assemblaggio di componenti elettronici",['74.10.2'],"['74.10.1', '71.12.2', '62.01.0', '62.02.0', '71.12.1', '62.03.0', '33.13.0', '43.21.0']",0
consulente risparmio energetico,['74.90.3'],"['66.19.2', '74.90.3', '73.11.0', '69.10.1', '62.02.0', '69.20.3', '74.90.2', '69.20.1']",1
produzione lenti a contatto,['32.50.4'],"['27.31.0', '26.51.2', '32.99.9', '26.70.1', '27.40.0', '32.50.1', '23.14.0', '32.50.3', '32.50.4']",1
gestore del personale,['69.20.1'],"['93.11.2', '55.90.1', '01.61.0', '84.13.9', '52.10.2', '93.11.1', '93.13.0', '66.11.0', '69.20.1', '52.21.1']",1
attivita      organizzazioni per la cooperazione internazionale,['94.99.4'],"['94.99.1', '94.92.0', '94.99.4', '94.99.6', '94.99.9', '84.25.2', '94.11.0', '94.99.3', '94.99.5', '99.00.0']",1
commercio all'ingrosso di prodotti chimici,['46.75.0'],"['46.42.1', '46.38.9', '46.69.9', '46.46.1', '46.34.1', '46.45.0', '46.76.3', '46.75.0', '46.35.0']",1
restauro edifici storici,['41.20.0'],"['95.29.0', '90.03.0', '95.24.0', '45.20.1', '91.03.0', '41.20.0', '95.25.0', '33.19.0']",1
commercio ambulante itinerante,['47.89.0'],"['56.10.4', '47.81.0', '47.82.0', '47.89.0']",1
commercio al dettaglio di combustibile per uso domestico,['47.78.4'],"['47.78.4', '45.32.0', '47.30.0', '47.54.0', '47.26.0', '47.59.3', '47.52.4', '47.59.1', '47.59.4', '47.25.0']",1
take  eat easy,['56.10.2'],"['56.30.0', '56.10.5', '56.10.1', '03.11.0', '56.21.0', '47.11.3', '46.17.0', '49.32.1', '56.10.4', '56.10.2']",1
pontificia facolta teologica dell italia,['84.12.3'],"['11.02.1', '71.20.1', '85.32.0', '95.29.0', '85.31.1', '85.59.1', '70.21.0', '71.12.5', '85.41.0', '60.10.0']",0
edizione di registrazione sonora,['59.20.1'],"['58.13.0', '59.20.2', '58.14.0', '58.11.0', '58.19.0', '59.20.3', '26.40.0', '58.21.0', '18.20.0', '59.20.1']",1
produzione oggettistica vari materiali,"['13.96.2', '46.90.0', '23.41.0', '20.59.2', '22.29.0', '15.12.0']","['23.99.0', '14.20.0', '23.91.0', '32.30.0', '20.59.9', '32.12.1', '13.99.9', '32.99.3', '22.29.0', '16.29.3']",1
vendita prodotti fatti a manou,['15.12.0'],"['25.73.1', '23.19.2', '28.13.0', '26.51.2', '73.11.0', '47.52.1', '47.78.3', '46.36.0', '17.12.0', '13.92.1']",0
societa      di servizi,['n.c.   '],"['64.99.4', '80.30.0', '82.19.0', '81.29.1', '96.02.0', '68.20.0', '49.42.0', '75.00.0', '69.20.1', '80.10.0']",0
intellettuale storia architettura,['71.11.0'],"['71.12.2', '73.11.0', '74.10.9', '42.91.0', '71.11.0', '71.12.1', '90.03.0', '85.52.0', '41.20.0', '72.20.0']",1
altre attivita assistenza,['n.c.   '],"['87.90.0', '96.09.0', '88.99.0', '45.20.9', '82.99.9', '74.90.2', '85.60.0', '58.19.0', '74.10.9', '90.02.0']",0
distribuzione prodotti farmaceutici,['46.46.1'],"['47.99.2', '21.10.0', '46.46.1', '47.73.1', '35.13.0', '73.11.0', '46.18.3', '46.46.2', '21.20.0']",1
installazione servizi di connettivita fwa e fibra ottica,['27.31.0'],"['43.29.0', '33.20.0', '62.09.0', '43.21.0', '61.10.0']",0
commercio all'ingrosso di rottami  metallici,['46.77.1'],"['46.76.9', '46.72.1', '47.78.3', '46.74.1', '46.44.2', '46.72.2', '46.41.1', '46.47.2', '46.75.0', '46.77.1']",1
commercio al dettaglio di articoli medicali e ortopedic,['47.74.0'],"['47.71.1', '46.46.3', '47.52.1', '47.52.2', '47.73.1', '47.54.0', '47.64.1', '47.29.3', '47.74.0', '47.72.1']",1
produttore macchine speciali,"['27.52.0', '28.99.9', '28.93.0', '28.96.0']","['30.40.0', '28.49.0', '28.22.0', '28.23.0', '45.20.2', '45.20.1', '26.20.0', '29.10.0', '25.40.0']",0
coltivazione di limoni,['01.23.0'],"['01.16.0', '01.21.0', '01.23.0', '01.22.0', '01.30.0', '01.26.0', '01.11.3', '01.15.0', '01.19.1', '01.27.0']",1
attivita di acquisto  gestione  vendita e permuta,['68.31.0'],"['84.21.0', '70.22.0', '35.14.0', '64.99.5', '66.12.0', '74.90.9', '66.19.1', '64.99.1', '79.90.1', '35.23.0']",0
altre attiviton classificabili,['n.c.   '],"['93.19.9', '39.00.0', '74.20.1', '82.99.9', '94.99.9', '92.00.0', '85.60.0', '58.19.0', '74.90.9', '74.10.9']",0
commercio all'ingrosso di elettrodomestici,['46.43.1'],"['46.42.1', '46.52.0', '46.43.1', '46.76.3', '47.54.0', '46.44.2', '46.47.3', '46.74.2', '46.49.3', '46.35.0']",1
"vendita dettaglio borse, portafogli",['47.72.2'],"['47.72.2', '47.52.1', '47.62.2', '47.77.0', '47.78.9', '47.78.5', '47.42.0', '46.49.5', '46.22.0', '47.62.1']",1
altre parti e accessori per autoveicoli,"['29.32.0', '45.31.0', '45.32.0']","['29.32.0', '45.32.0', '45.20.9', '30.91.2', '45.31.0', '45.19.0', '30.92.3', '31.09.4', '14.19.1', '33.12.5']",1
gestione alberghi con ristorante,['55.10.0'],"['55.10.0', '93.11.2', '56.10.5', '56.10.1', '52.10.2', '93.11.1', '93.13.0', '90.04.0']",1
commercio dettaglio online di pannelli fotovoltaici,"['43.21.0', '27.11.0', '46.69.2']","['47.52.1', '47.41.0', '47.78.2', '47.54.0', '47.43.0', '47.59.3', '46.69.2', '27.11.0', '46.74.2', '47.24.1']",1
commercio al dettagli creme,['47.75.1'],"['47.71.1', '46.45.0', '47.52.1', '47.41.0', '47.71.3', '47.78.3', '47.51.1', '47.24.2', '47.25.0']",0
fitto ramo d'azienda,['68.20.0'],"['10.61.3', '13.99.9', '24.44.0', '95.12.0', '25.99.3', '31.09.5', '13.99.1', '68.20.0', '13.10.0', '64.99.2']",1
produzione parti di autoveicoli,['29.32.0'],"['27.20.0', '29.32.0', '30.40.0', '30.91.1', '30.91.2', '26.51.2', '30.92.3', '30.92.2', '29.31.0', '29.10.0']",1
amministratore delegato grande distribuzione,['47.11.1'],"['47.99.2', '84.12.3', '35.13.0', '47.19.1', '52.10.2', '46.11.0', '28.29.1', '47.11.3', '46.18.2', '74.10.2']",0
grafica e comunicaziome,['74.10.2'],"['46.69.9', '82.19.0', '61.90.9', '73.11.0', '33.20.0', '85.59.2', '95.12.0', '70.21.0', '74.10.2']",1
servizio sociale giustizia,['63.12.0'],"['87.90.0', '84.23.0', '82.19.0', '80.30.0', '53.20.0', '84.30.0', '85.31.1', '49.42.0', '75.00.0', '80.10.0']",0
acquisto fondi agricoli,['46.31.1'],"['01.16.0', '01.23.0', '59.13.0', '01.12.0', '64.19.1', '64.19.2', '64.99.3', '01.19.1', '64.91.0', '46.19.0']",0
commercio prodotti stimolanti ed enzimi per piante vegetali,['46.33.2'],"['01.28.0', '46.21.2', '73.11.0', '47.76.1', '01.61.0', '47.89.0', '47.29.3', '46.46.2', '46.75.0', '46.22.0']",0
associazione ecomuseo del lago d'orta e mottarone,['94.99.2'],"['86.23.0', '38.32.1', '94.99.6', '03.11.0', '90.03.0', '91.03.0', '94.99.9', '79.90.1', '03.12.0', '99.00.0']",0
gestione amministrativa contabile,['69.20.1'],"['82.99.1', '93.11.2', '01.61.0', '52.10.2', '66.11.0', '93.13.0', '49.50.1', '84.13.9', '36.00.0', '52.21.1']",0
attivitelle agenzie di viaggio,['79.11.0'],"['79.11.0', '82.91.1', '63.91.0', '79.12.0', '66.22.0', '94.12.2', '79.90.2', '78.10.0', '82.91.2', '79.90.1']",1
assistente riprese video,['59.11.0'],"['59.12.0', '74.20.1', '95.21.0', '26.40.0', '74.20.2', '95.12.0', '33.13.0', '18.20.0']",0
impianto aspirazione polveri,['28.25.0'],"['32.50.1', '43.21.0', '43.29.0', '33.20.0', '28.11.1', '81.22.0', '28.12.0', '20.51.0', '42.21.0']",0
manutenzione di beni immobili sia propri che di terzi,"['68.32.0', '68.31.0', 'n.c.   ']","['45.20.9', '68.32.0', '95.29.0', '81.29.9', '68.10.0', '95.24.0', '90.03.0', '68.31.0', '68.20.0', '66.19.3']",1
produzione scatola alimentare,"['32.20.0', '25.92.0', '17.21.0', '10.85.0', '10.73.0', '10.39.0']","['16.24.0', '10.13.0', '17.21.0', '10.81.0', '25.92.0', '10.73.0', '17.11.0', '17.29.0', '25.91.0', '10.31.0']",1
intermediario per la vendita di automobili,['45.11.0'],"['73.12.0', '45.31.0', '45.11.0', '45.40.1', '45.19.0', '68.31.0', '64.99.1', '74.90.9']",1
gestione di parchi di dievrtimento,"['56.30.0', '55.30.0', '93.21.0']","['93.11.3', '93.11.2', '52.21.5', '93.11.9', '01.61.0', '93.11.1', '91.04.0', '02.10.0', '93.13.0', '36.00.0']",0
certificazione di conformitcertificazione di conformita,['71.20.2'],"['71.20.2', '70.22.0', '71.20.1', '43.91.0', '85.59.2', '64.92.0', '69.20.2', '82.99.4', '69.20.1']",1
supervisore attivitsupervisore attivita,[],"['84.25.1', '86.90.3', '94.20.0', '65.20.0', '66.22.0', '84.25.2', '93.12.0', '75.00.0', '79.90.1', '97.00.0']",0
negozio di pane,['47.24.1'],"['46.38.9', '47.11.2', '46.69.2', '46.36.0', '46.38.3', '47.11.3', '46.73.3', '10.71.1', '47.25.0', '47.24.1']",1
lavori di manutenzione mobili,"['31.09.4', '43.39.0', '31.09.1']","['33.12.3', '45.20.3', '45.20.9', '43.29.0', '43.99.0', '95.24.0', '45.20.1', '31.09.5', '33.12.5', '16.23.2']",0
posa in opera di inflissi,['n.c.   '],"['23.19.2', '46.73.2', '18.13.0', '43.99.0', '74.20.1', '03.11.0', '43.32.0', '43.34.0']",0
vendita altri prodotti,['46.18.9'],"['46.38.9', '46.73.2', '46.41.9', '32.99.9', '73.11.0', '47.79.3', '46.66.0', '20.59.9', '45.19.0', '23.49.0']",0
progettazione impianti antincendio,"['46.69.9', '43.22.0', '71.12.1']","['26.30.2', '43.21.0', '43.22.0', '71.12.2', '30.30.0', '84.22.0', '43.91.0', '09.10.0', '42.21.0', '38.22.0']",1
gestione sicurezza e controllo,['74.90.9'],"['93.11.2', '52.21.5', '71.20.2', '01.61.0', '91.03.0', '49.50.1', '26.51.2', '38.12.0', '52.21.1', '38.22.0']",0
scuole per crescere,"['81.21.0', '85.52.0', '49.39.0', '85.59.9']","['88.99.0', '85.53.0', '85.10.0', '85.59.9', '85.51.0', '85.52.0', '85.60.0', '85.59.3']",1
monitoraggio e controllo,['64.11.0'],"['71.20.2', '80.20.0', '26.70.1', '01.61.0', '69.20.2', '26.51.1', '26.51.2', '36.00.0', '64.11.0', '52.21.9']",1
raccolta e vendita di legna,"['46.73.1', '02.20.0', '46.13.0']","['01.29.0', '46.24.2', '46.73.1', '46.13.0', '38.11.0', '02.10.0', '02.20.0', '01.70.0', '01.15.0', '16.10.0']",1
high fashion wholesale,['46.42.1'],"['46.42.1', '47.71.1', '46.42.4', '14.13.1', '47.79.3', '47.78.3', '47.51.1', '47.78.9', '46.41.1', '47.72.1']",1
agente di commercio svapo,['46.19.0'],"['46.18.9', '46.38.9', '46.14.0', '66.22.0', '46.12.0', '46.11.0', '82.91.2', '46.17.0']",0
attivita di ausilio ad agenzia immobiliare,['68.31.0'],"['66.19.2', '66.22.0', '82.91.1', '69.10.1', '69.20.3', '75.00.0', '09.10.0', '68.31.0', '64.99.1']",1
commercio all'ingrosso e al dettaglio ecommerce di saponi,['46.44.3'],"['46.42.1', '47.78.6', '46.42.4', '47.71.1', '46.21.2', '46.45.0', '47.52.2', '47.54.0', '47.89.0', '46.44.3']",1
affitti turistici di proprietaffitti turistici di proprieta,['68.31.0'],"['77.21.0', '79.11.0', '77.34.0', '77.29.9', '68.20.0', '79.90.1', '55.20.5', '55.20.1', '64.91.0']",0
aste via internet,['47.91.1'],"['61.90.1', '45.11.0', '53.20.0', '45.19.0', '61.90.2', '58.12.0', '96.02.0', '92.00.0', '47.91.1', '47.79.4']",1
vendita porte blindate,"['25.99.2', '46.73.2']","['25.99.2', '46.73.2', '45.11.0', '46.47.3', '43.32.0', '92.00.0', '33.11.0', '27.90.0', '80.10.0', '16.23.1']",1
servizi consulenza tecnica ambientale,['74.90.9'],"['66.19.2', '74.90.1', '74.90.3', '70.22.0', '62.02.0', '74.90.2', '74.90.9']",1
noleggio e vendita,['77.22.0'],"['77.12.0', '77.21.0', '77.39.1', '77.34.0', '45.11.0', '77.35.0', '77.29.1', '77.11.0', '77.31.0']",0
venditore di tabacco,['47.26.0'],"['46.21.2', '46.34.1', '47.78.3', '47.26.0', '47.81.0', '46.17.0', '01.15.0', '46.35.0', '12.00.0', '46.41.1']",1
distribuzione contenuti digitali,['18.12.0'],"['82.19.0', '73.11.0', '35.13.0', '82.99.2', '59.13.0', '52.29.2', '60.20.0', '58.12.0', '74.20.2', '74.90.9']",0
consulente sanita pabblica,['n.c.   '],"['66.19.2', '69.10.1', '86.90.4', '69.20.3', '74.90.2', '96.02.0', '84.25.2', '56.10.4']",0
commercio dettaglio mobili usati,['47.79.2'],"['45.32.0', '47.79.3', '46.47.1', '47.51.1', '47.89.0', '47.59.1', '46.65.0', '47.78.1', '47.79.1', '47.79.2']",1
articoli per fumatori,['47.78.3'],"['47.78.3', '47.26.0', '81.29.1', '46.49.9', '16.29.1', '14.19.1', '47.82.0', '01.15.0', '46.35.0', '12.00.0']",1
movimento e trasporta terra,"['43.12.0', '52.24.4']","['52.24.4', '52.24.3', '77.39.1', '49.50.2', '49.41.0', '49.32.1', '49.50.1', '43.12.0', '51.22.0', '52.24.1']",1
commercio al dettaglio di infissi  finestre  tapparelle  cassonetti  persiane  cancelli di sicurezza  porte blindate  porte interne  zanzariere  veneziane  tende da sole,['25.12.2'],"['47.59.2', '46.73.2', '47.52.1', '47.52.2', '47.59.9', '47.51.1', '47.71.5', '47.59.5', '47.82.0', '47.52.3']",0
trasporti conto terzi,['49.41.0'],"['52.24.4', '77.39.1', '49.50.2', '52.29.2', '52.10.2', '82.99.9', '49.41.0', '49.32.1', '02.40.0', '51.22.0']",1
"allevamento di bovini e bufale da latte, produzione di latte crudo",['01.41.0'],"['03.22.0', '01.45.0', '10.51.1', '01.46.0', '01.42.0', '10.41.3', '01.41.0', '10.51.2', '01.43.0', '10.89.0']",1
riparazione e manutenzione macchinari,['33.12.5'],"['95.11.0', '33.12.7', '33.14.0', '33.12.1', '33.12.9', '33.12.5', '33.11.0']",1
attivita di intrattenimento,"['32.99.9', '56.30.0', '93.21.0', '93.29.3', '93.29.9']","['59.14.0', '84.12.4', '59.11.0', '93.19.1', '79.12.0', '59.13.0', '93.21.0', '93.12.0', '93.29.9', '79.90.1']",1
sostituto alla guida taxi,['79.90.2'],"['45.20.4', '77.39.1', '52.21.3', '82.99.9', '49.32.2', '82.20.0', '49.41.0', '49.32.1', '77.11.0', '51.10.2']",0
eventi con somministrazione alimenti e bevande,['56.10.1'],"['93.19.1', '56.10.5', '55.20.3', '56.10.1', '56.21.0', '46.17.0', '56.10.2', '96.09.0']",1
manicure e pedicure,['96.02.0'],"['43.31.0', '43.33.0', '95.29.0', '85.51.0', '96.02.0', '85.52.0', '95.25.0', '96.09.0']",1
riproduzione di supporti registrati,['18.20.0'],"['82.19.0', '46.43.2', '62.01.0', '58.11.0', '26.40.0', '59.20.3', '74.20.2', '74.10.3', '18.20.0', '59.20.1']",1
vendita in e commerce,['47.91.1'],"['46.52.0', '47.41.0', '35.14.0', '45.11.0', '47.91.2', '46.69.2', '45.19.0', '46.49.3', '47.91.1', '46.33.1']",1
rimessa di denaro,['49.32.2'],"['53.10.0', '66.19.5', '32.11.0', '64.99.5', '38.11.0', '82.99.9', '49.32.2', '93.29.3', '02.40.0', '64.11.0']",1
siderurgia cod reg,['24.10.0'],"['25.73.1', '16.29.2', '32.20.0', '20.52.0', '26.40.0', '33.12.9', '24.10.0', '26.20.0', '27.90.0', '12.00.0']",1
altre attivita' supporto imprese,['82.99.9'],"['96.09.0', '70.22.0', '01.61.0', '82.99.9', '74.90.2', '85.60.0', '58.19.0', '74.90.9', '74.10.9', '90.02.0']",1
supporti informatici per,"['46.43.2', '18.20.0', '46.52.0']","['66.19.2', '82.19.0', '82.11.0', '70.22.0', '62.02.0', '33.20.0', '02.40.0', '85.60.0', '74.90.9']",0
assemblaggio componenti elettrici,['29.31.0'],"['25.73.1', '45.20.3', '26.12.0', '28.25.0', '26.70.1', '33.20.0', '27.11.0', '25.11.0', '31.09.4', '26.11.0']",0
commercio all'ingrosso colle,"['20.52.0', '46.73.4']","['46.42.1', '46.42.4', '46.37.0', '46.34.1', '20.52.0', '46.44.2', '46.42.2', '46.35.0', '46.41.1']",1
prestazione manodopera giordinaggio,"['31.09.9', '52.24.4', '81.21.0']","['33.12.3', '96.03.0', '95.22.0', '01.61.0', '64.99.1', '09.10.0', '33.12.9', '09.90.0', '33.11.0']",0
vendita prodotti per la sicurezza,['46.69.9'],"['46.69.9', '47.52.1', '73.11.0', '15.20.1', '47.59.3', '46.47.3', '47.59.5', '46.75.0', '32.99.1']",1
produzione e vendita diretta di scarpe,"['15.20.1', '28.94.2', '14.39.0']","['32.91.0', '32.30.0', '15.20.1', '15.20.2', '14.19.2', '22.29.0', '15.12.0', '28.30.9', '32.50.3', '47.72.1']",1
confezione su misura,['14.13.2'],"['47.71.1', '14.20.0', '14.13.1', '14.13.2', '47.71.2', '14.19.1', '14.19.2', '14.11.0', '14.12.0', '13.92.1']",1
produzione servizi innovativi,"['22.11.1', 'n.c.   ']","['63.11.1', '80.30.0', '23.91.0', '82.11.0', '71.12.2', '20.14.0', '98.20.0', '26.20.0', '64.99.2', '74.90.9']",0
vendita prodotti abbigliamento,"['46.42.1', '47.71.1', '46.16.0', '14.13.1', 'n.c.   ']","['46.42.1', '47.71.1', '46.41.9', '73.11.0', '47.79.3', '47.78.3', '47.51.1', '46.42.2', '46.41.1']",1
corsi di guida,"['85.53.0', '79.90.2']","['93.19.9', '85.53.0', '85.59.9', '85.59.2', '85.51.0', '79.90.2', '85.52.0', '85.59.3', '85.32.0']",1
assistenza toner stampanti,"['95.11.0', '28.23.0']","['25.73.1', '95.11.0', '28.23.0', '82.19.0', '33.12.1', '33.12.9', '33.12.5', '26.20.0', '20.30.0']",1
servizi di ambulanza  delle banche del sangue e altri servizi sanitari nca,['86.90.4'],"['88.99.0', '86.90.4', '81.29.9', '85.59.9', '64.92.0', '82.99.9', '86.22.0', '63.99.0', '75.00.0', '96.09.0']",1
commercio al dettaglio borse in pelle,['47.72.2'],"['47.71.1', '47.72.2', '47.71.4', '47.79.3', '47.78.3', '47.51.1', '46.42.2', '46.49.5', '46.41.1', '47.72.1']",1
